1343 東証ETF (NEXT FUNDS)東証REIT指数連動型上場投信（ETF）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2018-01-04","1785","1785","1775","1778","117410","1778"
"2018-01-05","1784","1784","1777","1779","57140","1779"
"2018-01-09","1780","1803","1780","1800","133570","1800"
"2018-01-10","1805","1809","1795","1809","138460","1809"
"2018-01-11","1800","1809","1800","1808","72520","1808"
"2018-01-12","1808","1813","1805","1805","93970","1805"
"2018-01-15","1810","1834","1806","1825","169370","1825"
"2018-01-16","1830","1833","1823","1833","105560","1833"
"2018-01-17","1832","1849","1830","1844","231180","1844"
"2018-01-18","1859","1875","1851","1868","265000","1868"
"2018-01-19","1861","1865","1848","1851","182690","1851"
"2018-01-22","1858","1865","1853","1861","138290","1861"
"2018-01-23","1867","1881","1863","1873","236730","1873"
"2018-01-24","1876","1887","1871","1880","189160","1880"
"2018-01-25","1889","1898","1872","1880","119630","1880"
"2018-01-26","1879","1886","1867","1869","98760","1869"
"2018-01-29","1880","1880","1857","1863","47510","1863"
"2018-01-30","1860","1864","1850","1856","51370","1856"
"2018-01-31","1850","1863","1843","1861","175190","1861"
"2018-02-01","1861","1869","1858","1867","75810","1867"
"2018-02-02","1866","1866","1860","1860","48380","1860"
"2018-02-05","1850","1850","1829","1848","256070","1848"
"2018-02-06","1770","1806","1770","1797","357990","1797"
"2018-02-07","1810","1810","1771","1778","256080","1778"
"2018-02-08","1780","1801","1780","1791","75030","1791"
"2018-02-09","1745","1775","1743","1769","203950","1769"
"2018-02-13","1778","1793","1764","1766","78170","1766"
"2018-02-14","1759","1766","1745","1748","90700","1748"
"2018-02-15","1752","1752","1737","1749","69000","1749"
"2018-02-16","1760","1773","1755","1766","48900","1766"
"2018-02-19","1779","1787","1771","1787","20250","1787"
"2018-02-20","1791","1808","1787","1807","53570","1807"
"2018-02-21","1796","1807","1792","1802","40830","1802"
"2018-02-22","1795","1804","1788","1794","96020","1794"
"2018-02-23","1795","1813","1795","1811","31360","1811"
"2018-02-26","1820","1835","1816","1829","111950","1829"
"2018-02-27","1836","1840","1825","1828","40040","1828"
"2018-02-28","1817","1825","1808","1808","26000","1808"
"2018-03-01","1802","1819","1795","1795","97960","1795"
"2018-03-02","1774","1793","1773","1783","36890","1783"
"2018-03-05","1780","1785","1764","1769","34260","1769"
"2018-03-06","1774","1783","1773","1775","42790","1775"
"2018-03-07","1778","1792","1776","1789","77020","1789"
"2018-03-08","1793","1793","1782","1784","27130","1784"
"2018-03-09","1790","1790","1771","1775","22960","1775"
"2018-03-12","1791","1791","1772","1773","45340","1773"
"2018-03-13","1777","1778","1770","1770","38400","1770"
"2018-03-14","1770","1786","1770","1781","23540","1781"
"2018-03-15","1781","1800","1779","1800","27850","1800"
"2018-03-16","1800","1810","1795","1805","56610","1805"
"2018-03-19","1805","1806","1790","1790","13800","1790"
"2018-03-20","1790","1795","1784","1795","44290","1795"
"2018-03-22","1795","1800","1786","1800","103010","1800"
"2018-03-23","1770","1796","1770","1785","91940","1785"
"2018-03-26","1781","1784","1775","1777","62780","1777"
"2018-03-27","1788","1799","1783","1783","76740","1783"
"2018-03-28","1787","1801","1785","1794","78100","1794"
"2018-03-29","1786","1809","1786","1805","92390","1805"
"2018-03-30","1803","1818","1803","1804","52470","1804"
"2018-04-02","1805","1812","1802","1810","26810","1810"
"2018-04-03","1812","1816","1805","1811","41510","1811"
