1551 東証ETF JASDAQ-TOP20上場投信（ETF）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2018-01-04","5550","5560","5500","5540","6620","5540"
"2018-01-05","5560","5710","5550","5670","4070","5670"
"2018-01-09","5710","5810","5710","5790","3610","5790"
"2018-01-10","5790","5810","5670","5790","6910","5790"
"2018-01-11","5750","5780","5700","5750","1600","5750"
"2018-01-12","5800","5800","5750","5790","1120","5790"
"2018-01-15","5800","5830","5760","5760","2300","5760"
"2018-01-16","5800","5810","5760","5810","1640","5810"
"2018-01-17","5810","5820","5760","5800","2610","5800"
"2018-01-18","5830","5850","5760","5810","2630","5810"
"2018-01-19","5820","5820","5760","5790","1560","5790"
"2018-01-22","5760","5790","5760","5790","3530","5790"
"2018-01-23","5840","5870","5820","5870","3180","5870"
"2018-01-24","5860","5870","5830","5870","1420","5870"
"2018-01-25","5810","5860","5810","5820","1340","5820"
"2018-01-26","5850","5850","5810","5820","1520","5820"
"2018-01-29","5850","5890","5850","5850","1410","5850"
"2018-01-30","5850","5850","5770","5820","2770","5820"
"2018-01-31","5700","5800","5690","5780","6070","5780"
"2018-02-01","5750","5750","5690","5710","2750","5710"
"2018-02-02","5730","5750","5690","5700","2240","5700"
"2018-02-05","5590","5600","5510","5520","3470","5520"
"2018-02-06","5120","5200","4995","5170","8770","5170"
"2018-02-07","5570","5570","5200","5210","9680","5210"
"2018-02-08","5150","5290","5150","5230","1870","5230"
"2018-02-09","4995","5140","4970","5140","3920","5140"
"2018-02-13","5170","5210","5130","5140","1160","5140"
"2018-02-14","5090","5130","4900","4990","4770","4990"
"2018-02-15","4990","5080","4960","5010","1980","5010"
"2018-02-16","5110","5150","5060","5090","790","5090"
"2018-02-19","5170","5190","5120","5190","1160","5190"
"2018-02-20","5200","5210","5120","5210","910","5210"
"2018-02-21","5170","5280","5160","5270","990","5270"
"2018-02-22","5290","5290","5200","5250","1180","5250"
"2018-02-23","5330","5330","5200","5250","2090","5250"
"2018-02-26","5330","5330","5200","5230","2570","5230"
"2018-02-27","5270","5280","5110","5200","4510","5200"
"2018-02-28","5170","5260","5170","5260","1410","5260"
"2018-03-01","5230","5230","5140","5140","890","5140"
"2018-03-02","5040","5110","5040","5080","1070","5080"
"2018-03-05","5070","5130","4940","4955","2760","4955"
"2018-03-06","4985","5150","4985","5060","1410","5060"
"2018-03-07","5070","5080","5020","5030","2120","5030"
"2018-03-08","5090","5140","5060","5100","940","5100"
"2018-03-09","5110","5130","5040","5060","1200","5060"
"2018-03-12","5050","5110","4990","5000","1210","5000"
"2018-03-13","5000","5090","5000","5090","510","5090"
"2018-03-14","5060","5100","5060","5080","950","5080"
"2018-03-15","5090","5100","5060","5090","960","5090"
"2018-03-16","5120","5130","5080","5080","270","5080"
"2018-03-19","5070","5070","5000","5040","340","5040"
"2018-03-20","4960","5020","4935","5000","2030","5000"
"2018-03-22","4995","5040","4975","5010","650","5010"
"2018-03-23","4900","4905","4835","4850","2110","4850"
"2018-03-26","4730","4825","4665","4795","4770","4795"
"2018-03-27","4975","4975","4865","4880","2450","4880"
"2018-03-28","4870","4920","4850","4865","250","4865"
"2018-03-29","4975","4975","4920","4925","510","4925"
"2018-03-30","4985","5090","4975","5090","2100","5090"
"2018-04-02","5110","5120","5060","5060","660","5060"
"2018-04-03","5030","5030","4980","5020","210","5020"
"2018-04-04","5040","5040","4975","4985","310","4985"
"2018-04-05","5000","5020","4990","4995","2840","4995"
"2018-04-06","4995","4995","4960","4980","460","4980"
"2018-04-09","4910","4980","4910","4940","2340","4940"
"2018-04-10","4910","4950","4910","4950","170","4950"
"2018-04-11","4950","4950","4930","4930","60","4930"
"2018-04-12","4920","4960","4900","4910","210","4910"
"2018-04-13","4945","4950","4940","4940","140","4940"
"2018-04-16","4920","4935","4880","4910","1580","4910"
"2018-04-17","4920","4920","4835","4870","850","4870"
"2018-04-18","4890","4920","4890","4915","490","4915"
"2018-04-19","4920","4975","4920","4940","730","4940"
"2018-04-20","4905","4960","4905","4935","380","4935"
"2018-04-23","4910","4990","4910","4985","1510","4985"
"2018-04-24","4995","5040","4990","5040","670","5040"
"2018-04-25","5040","5080","4995","5060","410","5060"
"2018-04-26","5080","5080","5000","5000","300","5000"
"2018-04-27","4985","5040","4980","4980","1030","4980"
"2018-05-01","4950","5040","4950","5020","940","5020"
"2018-05-02","5050","5090","5040","5080","740","5080"
"2018-05-07","5010","5080","5010","5080","930","5080"
"2018-05-08","5080","5090","5060","5090","220","5090"
"2018-05-09","5090","5100","5070","5100","530","5100"
"2018-05-10","5100","5100","5090","5090","110","5090"
"2018-05-11","5070","5070","4900","5030","4730","5030"
"2018-05-14","5030","5040","5020","5030","400","5030"
"2018-05-15","5060","5060","4995","4995","720","4995"
"2018-05-16","4985","5000","4965","4965","470","4965"
"2018-05-17","4955","4955","4915","4915","750","4915"
"2018-05-18","4935","4935","4915","4925","370","4925"
"2018-05-21","4895","4945","4895","4925","1150","4925"
"2018-05-22","4950","5000","4935","4935","970","4935"
"2018-05-23","4920","4925","4910","4910","400","4910"
"2018-05-24","4935","4945","4890","4920","1050","4920"
"2018-05-25","4900","4940","4900","4915","550","4915"
"2018-05-28","4955","4955","4890","4900","1270","4900"
"2018-05-29","4935","4935","4850","4880","390","4880"
"2018-05-30","4860","4860","4815","4815","700","4815"
"2018-05-31","4875","4875","4845","4845","160","4845"
"2018-06-01","4840","4840","4800","4805","670","4805"
"2018-06-04","4860","4860","4805","4835","1490","4835"
"2018-06-05","4855","4855","4765","4770","1010","4770"
"2018-06-06","4770","4770","4720","4720","980","4720"
"2018-06-07","4740","4820","4715","4820","1130","4820"
"2018-06-08","4820","4830","4800","4830","170","4830"
"2018-06-11","4840","4840","4815","4840","600","4840"
"2018-06-12","4850","4875","4830","4875","1480","4875"
"2018-06-13","4845","4930","4845","4930","1020","4930"
"2018-06-14","4925","4925","4905","4905","150","4905"
"2018-06-15","4890","4910","4850","4875","1440","4875"
"2018-06-18","4850","4850","4790","4810","930","4810"
"2018-06-19","4805","4805","4735","4735","760","4735"
"2018-06-20","4770","4790","4700","4790","660","4790"
"2018-06-21","4810","4810","4785","4800","820","4800"
"2018-06-22","4785","4790","4755","4780","640","4780"
"2018-06-25","4735","4795","4735","4760","990","4760"
"2018-06-26","4700","4730","4700","4700","390","4700"
"2018-06-27","4740","4740","4700","4740","250","4740"
"2018-06-28","4735","4735","4685","4720","300","4720"
"2018-06-29","4700","4745","4700","4745","60","4745"
"2018-07-02","4795","4795","4670","4670","850","4670"
"2018-07-03","4690","4690","4530","4545","1890","4545"
"2018-07-04","4525","4525","4450","4450","690","4450"
"2018-07-05","4470","4480","4300","4325","1450","4325"
"2018-07-06","4350","4465","4340","4450","1200","4450"
"2018-07-09","4490","4505","4455","4500","440","4500"
"2018-07-10","4515","4540","4515","4535","830","4535"
"2018-07-11","4505","4510","4475","4510","480","4510"
"2018-07-12","4530","4540","4510","4510","230","4510"
"2018-07-13","4580","4590","4550","4580","1560","4580"
"2018-07-17","4560","4565","4530","4535","1060","4535"
"2018-07-18","4555","4620","4555","4585","810","4585"
"2018-07-19","4585","4610","4585","4600","210","4600"
"2018-07-20","4600","4600","4525","4530","600","4530"
"2018-07-23","4530","4530","4505","4520","600","4520"
"2018-07-24","4505","4605","4505","4595","410","4595"
"2018-07-25","4595","4630","4580","4630","260","4630"
"2018-07-26","4630","4705","4630","4705","1090","4705"
"2018-07-27","4710","4710","4670","4685","420","4685"
"2018-07-30","4700","4700","4655","4660","730","4660"
"2018-07-31","4605","4640","4550","4640","390","4640"
"2018-08-01","4640","4670","4630","4635","260","4635"
"2018-08-02","4640","4660","4595","4610","390","4610"
"2018-08-03","4610","4615","4575","4580","320","4580"
"2018-08-06","4550","4550","4405","4485","1680","4485"
"2018-08-07","4485","4495","4440","4465","1380","4465"
"2018-08-08","4480","4510","4480","4485","910","4485"
"2018-08-09","4485","4520","4480","4510","540","4510"
"2018-08-10","4575","4595","4500","4500","400","4500"
"2018-08-13","4470","4470","4390","4410","1730","4410"
"2018-08-14","4410","4475","4410","4420","730","4420"
"2018-08-15","4495","4495","4425","4425","210","4425"
"2018-08-16","4360","4415","4360","4415","530","4415"
"2018-08-17","4380","4430","4380","4420","510","4420"
"2018-08-20","4420","4420","4390","4395","900","4395"
"2018-08-21","4380","4380","4290","4305","1510","4305"
"2018-08-22","4375","4410","4350","4405","930","4405"
"2018-08-23","4365","4480","4365","4475","3250","4475"
"2018-08-24","4500","4540","4470","4535","1140","4535"
"2018-08-27","4615","4615","4575","4600","1000","4600"
"2018-08-28","4685","4690","4605","4605","1240","4605"
"2018-08-29","4590","4700","4590","4695","920","4695"
"2018-08-30","4695","4755","4695","4755","1640","4755"
"2018-08-31","4735","4760","4685","4755","900","4755"
"2018-09-03","4755","4755","4665","4690","570","4690"
"2018-09-04","4690","4695","4670","4670","1430","4670"
"2018-09-05","4655","4735","4655","4690","310","4690"
"2018-09-06","4690","4690","4545","4580","1780","4580"
"2018-09-07","4540","4540","4455","4490","1890","4490"
"2018-09-10","4490","4490","4445","4445","480","4445"
"2018-09-11","4500","4500","4405","4445","1950","4445"
"2018-09-12","4430","4430","4380","4380","400","4380"
"2018-09-13","4425","4425","4390","4410","350","4410"
"2018-09-14","4410","4510","4410","4510","1260","4510"
"2018-09-18","4545","4545","4440","4490","1670","4490"
"2018-09-19","4540","4630","4535","4630","2170","4630"
"2018-09-20","4630","4635","4595","4595","820","4595"
"2018-09-21","4600","4690","4600","4690","1090","4690"
"2018-09-25","4690","4735","4625","4735","910","4735"
"2018-09-26","4755","4900","4755","4855","2910","4855"
"2018-09-27","4755","4765","4680","4680","1100","4680"
"2018-09-28","4705","4750","4660","4740","1070","4740"
"2018-10-01","4800","4815","4765","4775","2460","4775"
"2018-10-02","4775","4875","4755","4785","1270","4785"
"2018-10-03","4790","4790","4710","4730","220","4730"
"2018-10-04","4795","4800","4750","4790","240","4790"
"2018-10-05","4720","4760","4700","4705","840","4705"
"2018-10-09","4565","4660","4565","4630","1760","4630"
"2018-10-10","4660","4685","4635","4665","500","4665"
"2018-10-11","4620","4620","4420","4480","2710","4480"
"2018-10-12","4460","4620","4460","4620","1290","4620"
"2018-10-15","4690","4690","4580","4620","2860","4620"
"2018-10-16","4595","4640","4590","4600","1280","4600"
"2018-10-17","4650","4740","4650","4700","850","4700"
"2018-10-18","4720","4745","4705","4715","880","4715"
"2018-10-19","4575","4675","4575","4675","390","4675"
"2018-10-22","4655","4725","4655","4710","370","4710"
"2018-10-23","4680","4680","4570","4570","2450","4570"
"2018-10-24","4520","4590","4510","4565","720","4565"
"2018-10-25","4450","4480","4355","4355","2570","4355"
"2018-10-26","4360","4360","4085","4150","4350","4150"
"2018-10-29","4220","4220","4035","4035","1840","4035"
"2018-10-30","3975","4205","3975","4180","2080","4180"
"2018-10-31","4180","4345","4180","4345","1040","4345"
"2018-11-01","4275","4440","4255","4360","2820","4360"
"2018-11-02","4395","4525","4395","4515","1330","4515"
