1698 東証ETF 上場インデックスファンド日本高配当（ETF）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2018-01-04","1960","1980","1960","1970","1900","1970"
"2018-01-05","1980","1990","1974","1990","770","1990"
"2018-01-09","1991","1995","1988","1995","1060","1995"
"2018-01-10","1995","1996","1995","1996","1380","1996"
"2018-01-11","1996","1997","1987","1987","460","1987"
"2018-01-12","1997","1997","1980","1984","520","1984"
"2018-01-15","1998","1998","1990","1990","670","1990"
"2018-01-16","1999","1999","1993","1994","900","1994"
"2018-01-17","1998","1999","1994","1997","2340","1997"
"2018-01-18","1999","2000","1990","1990","2160","1990"
"2018-01-19","1992","1998","1986","1994","320","1994"
"2018-01-22","1996","1996","1990","1993","280","1993"
"2018-01-23","2000","2005","1999","2005","3990","2005"
"2018-01-24","2002","2003","1998","1998","650","1998"
"2018-01-25","1998","1998","1989","1989","1770","1989"
"2018-01-26","1988","1995","1987","1995","320","1995"
"2018-01-29","1995","1995","1983","1985","410","1985"
"2018-01-30","1990","1990","1972","1981","3070","1981"
"2018-01-31","1971","1979","1950","1958","1120","1958"
"2018-02-01","1969","1997","1961","1997","690","1997"
"2018-02-02","1988","2004","1974","1977","1720","1977"
"2018-02-05","1937","1967","1936","1963","1900","1963"
"2018-02-06","1930","1934","1832","1869","7970","1869"
"2018-02-07","1930","1938","1885","1885","2740","1885"
"2018-02-08","1899","1927","1889","1899","6420","1899"
"2018-02-09","1866","1885","1846","1867","6710","1867"
"2018-02-13","1870","1882","1842","1842","3580","1842"
"2018-02-14","1856","1856","1825","1832","3350","1832"
"2018-02-15","1859","1859","1843","1845","1180","1845"
"2018-02-16","1858","1877","1850","1870","1970","1870"
"2018-02-19","1890","1897","1886","1888","950","1888"
"2018-02-20","1896","1896","1883","1890","360","1890"
"2018-02-21","1890","1892","1880","1881","630","1881"
"2018-02-22","1876","1877","1865","1871","490","1871"
"2018-02-23","1878","1884","1877","1884","190","1884"
"2018-02-26","1905","1905","1892","1892","460","1892"
"2018-02-27","1903","1911","1903","1904","460","1904"
"2018-02-28","1900","1909","1900","1900","630","1900"
"2018-03-01","1892","1892","1865","1866","1400","1866"
"2018-03-02","1844","1844","1832","1835","3500","1835"
"2018-03-05","1835","1835","1823","1826","3790","1826"
"2018-03-06","1843","1854","1843","1844","610","1844"
"2018-03-07","1834","1846","1834","1840","670","1840"
"2018-03-08","1841","1843","1833","1835","300","1835"
"2018-03-09","1849","1857","1830","1834","1790","1834"
"2018-03-12","1874","1874","1856","1866","1430","1866"
"2018-03-13","1867","1871","1859","1871","360","1871"
"2018-03-14","1854","1873","1854","1873","160","1873"
"2018-03-15","1870","1870","1853","1864","480","1864"
"2018-03-16","1866","1866","1860","1864","150","1864"
"2018-03-19","1854","1856","1820","1845","720","1845"
"2018-03-20","1841","1842","1831","1839","1210","1839"
"2018-03-22","1845","1847","1841","1844","150","1844"
"2018-03-23","1829","1830","1792","1794","6300","1794"
"2018-03-26","1790","1818","1782","1794","2300","1794"
"2018-03-27","1803","1831","1803","1824","1300","1824"
"2018-03-28","1816","1839","1811","1836","470","1836"
"2018-03-29","1854","1854","1828","1845","840","1845"
"2018-03-30","1870","1870","1853","1854","700","1854"
"2018-04-02","1870","1875","1860","1860","5830","1860"
"2018-04-03","1847","1868","1840","1868","1030","1868"
"2018-04-04","1861","1861","1846","1854","580","1854"
"2018-04-05","1865","1899","1861","1875","1240","1875"
"2018-04-06","1875","1875","1854","1865","740","1865"
"2018-04-09","1846","1869","1846","1866","320","1866"
"2018-04-10","1854","1887","1854","1871","320","1871"
"2018-04-11","1887","1887","1864","1868","540","1868"
"2018-04-12","1869","1869","1860","1861","430","1861"
"2018-04-13","1865","1880","1863","1863","550","1863"
"2018-04-16","1860","1873","1857","1868","550","1868"
"2018-04-17","1876","1876","1849","1867","420","1867"
"2018-04-18","1870","1881","1870","1881","150","1881"
"2018-04-19","1886","1886","1880","1880","380","1880"
"2018-04-20","1884","1884","1878","1880","380","1880"
"2018-04-23","1882","1884","1874","1880","1240","1880"
"2018-04-24","1890","1890","1882","1889","1160","1889"
"2018-04-25","1888","1892","1885","1892","1100","1892"
"2018-04-26","1895","1905","1895","1900","810","1900"
"2018-04-27","1897","1907","1896","1902","1000","1902"
"2018-05-01","1905","1905","1892","1898","3600","1898"
"2018-05-02","1909","1909","1889","1889","2010","1889"
"2018-05-07","1890","1890","1881","1890","4130","1890"
"2018-05-08","1889","1902","1889","1896","250","1896"
"2018-05-09","1907","1907","1890","1890","620","1890"
"2018-05-10","1903","1903","1897","1898","1030","1898"
"2018-05-11","1899","1910","1899","1906","2060","1906"
"2018-05-14","1915","1915","1905","1913","560","1913"
"2018-05-15","1913","1913","1908","1910","150","1910"
"2018-05-16","1909","1909","1904","1908","330","1908"
"2018-05-17","1919","1919","1910","1914","210","1914"
"2018-05-18","1918","1920","1918","1919","30620","1919"
"2018-05-21","1926","1928","1919","1924","1270","1924"
"2018-05-22","1926","1926","1917","1921","560","1921"
"2018-05-23","1919","1921","1905","1910","340","1910"
"2018-05-24","1915","1915","1888","1889","620","1889"
"2018-05-25","1887","1892","1887","1892","300","1892"
"2018-05-28","1900","1900","1884","1889","490","1889"
"2018-05-29","1889","1889","1876","1880","680","1880"
"2018-05-30","1867","1867","1851","1851","1310","1851"
"2018-05-31","1870","1870","1864","1868","80","1868"
"2018-06-01","1867","1873","1862","1864","710","1864"
"2018-06-04","1880","1888","1880","1888","890","1888"
"2018-06-05","1888","1889","1883","1885","440","1885"
"2018-06-06","1890","1894","1889","1893","170","1893"
"2018-06-07","1895","1905","1895","1905","1240","1905"
"2018-06-08","1900","1900","1889","1889","200","1889"
"2018-06-11","1893","1895","1889","1895","60","1895"
"2018-06-12","1909","1914","1901","1903","1490","1903"
"2018-06-13","1907","1911","1906","1911","40","1911"
"2018-06-14","1894","1903","1894","1897","550","1897"
"2018-06-15","1898","1898","1898","1898","10","1898"
"2018-06-18","1909","1909","1883","1889","1440","1889"
"2018-06-19","1901","1901","1866","1866","930","1866"
"2018-06-20","1862","1866","1855","1866","780","1866"
"2018-06-21","1875","1875","1870","1874","120","1874"
"2018-06-22","1861","1865","1856","1863","10800","1863"
"2018-06-25","1875","1875","1855","1855","650","1855"
"2018-06-26","1854","1867","1848","1867","470","1867"
"2018-06-27","1879","1879","1854","1860","3080","1860"
"2018-06-28","1863","1863","1850","1854","1340","1854"
"2018-06-29","1859","1866","1854","1861","60380","1861"
"2018-07-02","1874","1874","1828","1829","2610","1829"
"2018-07-03","1835","1837","1816","1824","16720","1824"
"2018-07-04","1816","1822","1808","1818","7400","1818"
"2018-07-05","1822","1822","1805","1806","3090","1806"
"2018-07-06","1820","1828","1820","1828","630","1828"
"2018-07-09","1823","1837","1823","1831","810","1831"
"2018-07-10","1850","1850","1839","1839","2340","1839"
"2018-07-11","1835","1842","1812","1819","2740","1819"
"2018-07-12","1829","1833","1829","1829","670","1829"
"2018-07-13","1830","1847","1830","1847","1600","1847"
"2018-07-17","1841","1867","1841","1867","730","1867"
"2018-07-18","1875","1875","1865","1865","1180","1865"
"2018-07-19","1870","1870","1860","1860","590","1860"
"2018-07-20","1860","1865","1848","1851","560","1851"
"2018-07-23","1844","1856","1844","1856","940","1856"
"2018-07-24","1858","1858","1851","1853","330","1853"
"2018-07-25","1865","1865","1856","1856","1450","1856"
"2018-07-26","1862","1870","1862","1869","260","1869"
"2018-07-27","1868","1887","1868","1880","7580","1880"
"2018-07-30","1877","1881","1872","1878","24100","1878"
"2018-07-31","1875","1878","1866","1866","800","1866"
"2018-08-01","1870","1876","1861","1876","520","1876"
"2018-08-02","1877","1877","1860","1861","780","1861"
"2018-08-03","1866","1866","1850","1853","490","1853"
"2018-08-06","1845","1852","1844","1844","1540","1844"
"2018-08-07","1853","1853","1840","1850","900","1850"
"2018-08-08","1857","1857","1843","1843","330","1843"
"2018-08-09","1845","1845","1835","1836","130","1836"
"2018-08-10","1838","1838","1822","1822","810","1822"
"2018-08-13","1804","1806","1785","1790","2510","1790"
"2018-08-14","1791","1805","1791","1805","660","1805"
"2018-08-15","1807","1814","1792","1794","420","1794"
"2018-08-16","1788","1794","1772","1790","870","1790"
"2018-08-17","1799","1807","1799","1805","310","1805"
"2018-08-20","1807","1807","1798","1800","340","1800"
"2018-08-21","1800","1800","1789","1792","560","1792"
"2018-08-22","1798","1801","1791","1801","120","1801"
"2018-08-23","1809","1809","1800","1800","270","1800"
"2018-08-24","1800","1810","1800","1810","600","1810"
"2018-08-27","1810","1822","1810","1821","220","1821"
"2018-08-28","1825","1835","1825","1829","650","1829"
"2018-08-29","1833","1841","1830","1837","1270","1837"
"2018-08-30","1845","1845","1834","1834","380","1834"
"2018-08-31","1832","1832","1825","1829","590","1829"
"2018-09-03","1832","1832","1815","1815","660","1815"
"2018-09-04","1829","1829","1810","1817","840","1817"
"2018-09-05","1815","1815","1799","1804","1840","1804"
"2018-09-06","1798","1799","1791","1791","1080","1791"
"2018-09-07","1798","1798","1775","1780","1600","1780"
"2018-09-10","1790","1790","1780","1783","610","1783"
"2018-09-11","1799","1799","1790","1793","260","1793"
"2018-09-12","1809","1809","1783","1793","490","1793"
"2018-09-13","1793","1809","1793","1807","110","1807"
"2018-09-14","1810","1822","1810","1822","1010","1822"
"2018-09-18","1808","1855","1808","1852","5150","1852"
"2018-09-19","1869","1878","1868","1877","12910","1877"
"2018-09-20","1880","1880","1870","1876","2240","1876"
"2018-09-21","1868","1888","1860","1883","1470","1883"
"2018-09-25","1883","1899","1880","1899","2800","1899"
"2018-09-26","1892","1915","1892","1915","1090","1915"
"2018-09-27","1903","1915","1901","1901","1090","1901"
"2018-09-28","1906","1924","1906","1916","2750","1916"
"2018-10-01","1918","1921","1912","1920","930","1920"
"2018-10-02","1905","1940","1905","1929","14020","1929"
"2018-10-03","1915","1915","1890","1890","1240","1890"
"2018-10-04","1891","1907","1890","1893","1610","1893"
"2018-10-05","1884","1891","1877","1887","1330","1887"
"2018-10-09","1860","1865","1860","1863","2170","1863"
"2018-10-10","1870","1870","1861","1861","700","1861"
"2018-10-11","1837","1837","1810","1814","2990","1814"
"2018-10-12","1827","1827","1800","1810","3030","1810"
"2018-10-15","1810","1810","1783","1784","3240","1784"
"2018-10-16","1790","1798","1785","1798","1770","1798"
"2018-10-17","1836","1836","1816","1821","1410","1821"
"2018-10-18","1823","1827","1815","1815","870","1815"
"2018-10-19","1805","1806","1795","1799","780","1799"
"2018-10-22","1806","1817","1795","1814","740","1814"
"2018-10-23","1811","1811","1769","1769","7290","1769"
"2018-10-24","1791","1791","1755","1768","4500","1768"
"2018-10-25","1722","1739","1720","1727","5170","1727"
"2018-10-26","1767","1767","1710","1723","3730","1723"
"2018-10-29","1725","1733","1719","1719","900","1719"
"2018-10-30","1721","1741","1717","1734","1340","1734"
"2018-10-31","1737","1756","1737","1756","1860","1756"
"2018-11-01","1760","1760","1732","1741","1340","1741"
"2018-11-02","1747","1760","1736","1754","710","1754"
"2018-11-05","1744","1748","1739","1742","610","1742"
"2018-11-06","1760","1764","1756","1764","520","1764"
"2018-11-07","1770","1775","1740","1740","1650","1740"
"2018-11-08","1764","1773","1764","1766","740","1766"
"2018-11-09","1770","1775","1760","1764","610","1764"
"2018-11-12","1744","1772","1744","1763","1550","1763"
"2018-11-13","1745","1750","1729","1741","1840","1741"
"2018-11-14","1757","1757","1741","1749","1160","1749"
"2018-11-15","1748","1748","1735","1742","1940","1742"
"2018-11-16","1754","1754","1736","1736","260","1736"
"2018-11-19","1730","1740","1730","1739","1420","1739"
"2018-11-20","1728","1741","1728","1740","4180","1740"
"2018-11-21","1720","1738","1720","1738","770","1738"
"2018-11-22","1740","1746","1735","1746","730","1746"
"2018-11-26","1746","1755","1745","1755","860","1755"
"2018-11-27","1765","1765","1753","1759","350","1759"
"2018-11-28","1755","1771","1755","1770","1020","1770"
"2018-11-29","1776","1780","1766","1768","620","1768"
"2018-11-30","1775","1778","1768","1776","440","1776"
"2018-12-03","1785","1797","1784","1792","2390","1792"
"2018-12-04","1800","1800","1766","1767","1370","1767"
"2018-12-05","1760","1766","1745","1764","2070","1764"
"2018-12-06","1763","1763","1731","1737","1340","1737"
"2018-12-07","1754","1754","1737","1743","280","1743"
