8411 東証1部 (株)みずほフィナンシャルグループ（銀行業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2018-01-04","207.7","209.5","207.1","209.5","206939200","209.5"
"2018-01-05","210.8","212.7","210.8","212.1","205608500","212.1"
"2018-01-09","215","215.1","212.2","212.8","142327800","212.8"
"2018-01-10","214.6","215.7","213.9","215","175716100","215"
"2018-01-11","215.7","217","215","216","146841600","216"
"2018-01-12","217","218.5","216.5","217.1","189180400","217.1"
"2018-01-15","219","220.6","218.3","218.9","157425100","218.9"
"2018-01-16","219","220.7","218.5","220.3","152653200","220.3"
"2018-01-17","219.1","219.1","217.1","218.1","135936600","218.1"
"2018-01-18","219.9","219.9","214","214.1","161276500","214.1"
"2018-01-19","215.7","216.4","214.5","215.7","105118700","215.7"
"2018-01-22","215.2","215.6","213.7","214.9","117546500","214.9"
"2018-01-23","216","217.4","215.3","217.3","117544800","217.3"
"2018-01-24","215.7","215.9","213.6","214.3","141383300","214.3"
"2018-01-25","212","213.2","210.4","211.5","134346900","211.5"
"2018-01-26","212.4","212.6","210","210","139508200","210"
"2018-01-29","210","211.5","209.3","210.2","90194800","210.2"
"2018-01-30","210.5","210.9","208","209","129486100","209"
"2018-01-31","207.8","209","205.2","205.3","154284200","205.3"
"2018-02-01","208.2","211.5","206.8","209.8","202924700","209.8"
"2018-02-02","210.1","210.7","206.8","207.6","164685600","207.6"
"2018-02-05","205","205.7","203.3","204.9","182402900","204.9"
"2018-02-06","199","200.5","196","200.1","403470400","200.1"
"2018-02-07","204.3","204.9","199.7","199.7","265822000","199.7"
"2018-02-08","200.9","202.6","200","201.2","157536500","201.2"
"2018-02-09","196.7","198.2","195.4","197.7","203101000","197.7"
"2018-02-13","199.7","199.8","195.2","195.9","175827800","195.9"
"2018-02-14","196.8","197.2","193.8","194.1","171331700","194.1"
"2018-02-15","197.1","198.1","196.2","196.3","127637600","196.3"
"2018-02-16","197.3","199.5","197.1","198.4","104328000","198.4"
"2018-02-19","200.3","203.1","199.9","202.8","126972400","202.8"
"2018-02-20","201.6","202.1","200","201.6","93530900","201.6"
"2018-02-21","201.4","201.5","199.1","199.4","107058000","199.4"
"2018-02-22","198.1","198.7","197.2","198.4","114554500","198.4"
"2018-02-23","198.5","200.4","197.7","199.7","86995000","199.7"
"2018-02-26","201.5","202.5","200.5","201.2","85358100","201.2"
"2018-02-27","202.7","202.8","201.7","202.2","97671400","202.2"
"2018-02-28","201.5","201.7","199.4","199.4","121294400","199.4"
"2018-03-01","198.1","198.2","196.7","197.7","177592200","197.7"
"2018-03-02","195.8","196.5","195.2","196.2","161255800","196.2"
"2018-03-05","195.4","195.5","194.3","195.1","135731800","195.1"
"2018-03-06","197.8","198.3","195.7","195.9","124645800","195.9"
"2018-03-07","195.3","196.8","194.2","194.2","141824400","194.2"
"2018-03-08","195.2","195.4","193.7","194.1","110705500","194.1"
"2018-03-09","196.2","196.6","193.8","194.1","171279000","194.1"
"2018-03-12","196.6","198.2","196.2","197.8","113728400","197.8"
"2018-03-13","196.7","196.9","195.6","196.8","110007200","196.8"
"2018-03-14","195.8","196.8","195.6","196.3","93302700","196.3"
"2018-03-15","195.5","195.7","194.3","194.9","113417600","194.9"
"2018-03-16","195.1","195.5","194.7","194.7","107815400","194.7"
"2018-03-19","194.5","194.5","192.5","193","137255900","193"
"2018-03-20","192.5","193.9","192.1","193.5","103270200","193.5"
"2018-03-22","192.4","193.4","192","193.3","133823100","193.3"
"2018-03-23","190.6","191.6","190.2","191.2","199884200","191.2"
"2018-03-26","190","191","189.2","191","217140200","191"
"2018-03-27","193","195","192.8","195","187622200","195"
"2018-03-28","189.1","192.7","189.1","192.6","142174400","192.6"
"2018-03-29","193.7","194","190","191.5","106165900","191.5"
"2018-03-30","192.2","193.1","190.9","191.4","94836300","191.4"
"2018-04-02","191.4","192.5","190.3","190.3","71542000","190.3"
"2018-04-03","189","190","188.1","189.9","104653400","189.9"
"2018-04-04","189.4","189.4","188","188.6","105647600","188.6"
"2018-04-05","189.5","192.6","189.1","191.2","124416500","191.2"
"2018-04-06","190.6","191.4","190","190.6","98974700","190.6"
"2018-04-09","190.2","193.5","190","192.9","99693700","192.9"
"2018-04-10","191.8","194","191.3","193.3","96764200","193.3"
"2018-04-11","194","194.9","193.6","193.9","97116700","193.9"
"2018-04-12","194.3","194.4","193.1","193.5","68848300","193.5"
"2018-04-13","194.5","196.3","194.4","195.2","134031500","195.2"
"2018-04-16","194.9","195.4","193.9","194.8","76878500","194.8"
"2018-04-17","194.3","194.4","193","193.5","79414500","193.5"
"2018-04-18","193","194.6","192.5","194.5","87789600","194.5"
"2018-04-19","194.9","197","194.6","195","134657300","195"
"2018-04-20","195.9","196.8","194.8","195.3","103068200","195.3"
"2018-04-23","196.3","197.9","196","197.5","114245700","197.5"
"2018-04-24","198.5","199.4","197.7","199.1","122141000","199.1"
"2018-04-25","198.3","199.8","198.1","199.2","109155800","199.2"
"2018-04-26","199.9","200.6","198.7","199.1","103642200","199.1"
"2018-04-27","199.1","199.1","197.2","198.4","109605100","198.4"
"2018-05-01","198.4","198.6","195.3","196.2","115552600","196.2"
"2018-05-02","197.1","197.1","195.7","196.7","67238000","196.7"
"2018-05-07","197.2","197.3","196","197","65627400","197"
"2018-05-08","196.4","199.1","196.3","198.2","85583200","198.2"
"2018-05-09","197.3","197.8","196.1","197.6","93828900","197.6"
"2018-05-10","198.8","199","197.8","198.1","68227100","198.1"
"2018-05-11","198.2","199.2","197.7","199.2","87303000","199.2"
"2018-05-14","198.9","199.7","198.4","199.7","65439400","199.7"
"2018-05-15","200.2","202.7","200.2","201.3","164509000","201.3"
"2018-05-16","199.8","201.9","199.5","201.5","111167000","201.5"
"2018-05-17","202","203.2","201.8","202.5","114226400","202.5"
"2018-05-18","202.8","203.3","201.7","202.9","79597500","202.9"
"2018-05-21","202.5","202.6","201","201.3","81149100","201.3"
"2018-05-22","201","201.3","199.9","200.9","60345600","200.9"
"2018-05-23","200.1","200.8","198.8","199.6","106882800","199.6"
"2018-05-24","198.2","198.3","194.8","195.1","162906900","195.1"
"2018-05-25","195","195.5","193.1","194.1","105937900","194.1"
"2018-05-28","194.3","194.4","193.1","194.3","62863300","194.3"
"2018-05-29","193.1","193.7","192.6","193.4","78139000","193.4"
"2018-05-30","190","190.6","189.1","190.4","147938600","190.4"
"2018-05-31","191","191.3","189.7","189.7","130483200","189.7"
"2018-06-01","190","193.2","189.4","191.1","109739600","191.1"
"2018-06-04","192.4","194.8","191.9","194.1","117317600","194.1"
"2018-06-05","194.3","194.3","191.8","192.8","95523500","192.8"
"2018-06-06","192.8","193.3","192.4","192.4","71000400","192.4"
"2018-06-07","194.2","194.7","193.3","193.9","88508200","193.9"
"2018-06-08","192.3","193.8","192.3","192.9","122290000","192.9"
"2018-06-11","192.4","194.3","191.9","193.5","60704600","193.5"
"2018-06-12","194.2","194.8","193.4","193.7","78925100","193.7"
"2018-06-13","193.6","195.2","193.4","194.1","77127400","194.1"
"2018-06-14","193.6","194.7","191.8","193.4","98640500","193.4"
"2018-06-15","193.8","193.8","191.6","191.9","105928500","191.9"
"2018-06-18","191.9","191.9","190.1","191","81440000","191"
"2018-06-19","190.5","191.2","190","190","88632800","190"
"2018-06-20","190","190.1","187","189.1","161634200","189.1"
"2018-06-21","189.3","189.3","186.7","186.9","130456400","186.9"
"2018-06-22","185.5","186.6","183.9","186.1","162508800","186.1"
"2018-06-25","187","187.1","185.7","186.1","89222000","186.1"
"2018-06-26","185.9","188.2","185.2","187.1","99169200","187.1"
"2018-06-27","186.4","186.9","185.3","186.5","88364200","186.5"
"2018-06-28","186.5","187.2","185.5","185.9","99148700","185.9"
"2018-06-29","186.5","187.2","185.6","186.5","89344200","186.5"
"2018-07-02","185.7","186.8","185.2","185.5","94838200","185.5"
"2018-07-03","185.6","186.2","185","186.2","113621600","186.2"
"2018-07-04","185.6","187.7","185.5","186.4","109345200","186.4"
"2018-07-05","185.7","185.9","184.3","185.1","117393400","185.1"
"2018-07-06","186","186.8","185.3","185.3","107177300","185.3"
"2018-07-09","186","188.7","185.8","188.1","98839400","188.1"
"2018-07-10","189.9","191.6","188.7","188.7","143808600","188.7"
"2018-07-11","187","188.3","186.1","188","98910500","188"
"2018-07-12","189.6","189.8","187.8","188","78668300","188"
"2018-07-13","189","189.7","188.4","188.9","92825700","188.9"
"2018-07-17","189","191","188.5","190","107884700","190"
"2018-07-18","191","191.2","190","190.1","65988900","190.1"
"2018-07-19","190.7","191.6","190.3","191","93682600","191"
"2018-07-20","190.2","191.2","189.2","190.4","88972000","190.4"
"2018-07-23","196","197.5","194.9","195.6","265956800","195.6"
"2018-07-24","196.4","197.8","194.9","195.6","167814100","195.6"
"2018-07-25","195","196.4","194.6","195.4","85947600","195.4"
"2018-07-26","196.7","196.7","195.7","196","103449200","196"
"2018-07-27","196","197.2","196","197","132590100","197"
"2018-07-30","197.5","199.6","197.1","199.5","138433800","199.5"
"2018-07-31","199.7","201.2","193.3","194.6","243110700","194.6"
"2018-08-01","196.1","200.3","195.2","199.8","225030100","199.8"
"2018-08-02","200.5","203","199.7","199.8","193142200","199.8"
"2018-08-03","200.8","201","197.4","197.5","102480800","197.5"
"2018-08-06","198.3","198.4","195.8","196.2","108674700","196.2"
"2018-08-07","196.6","196.6","194.6","196","77114600","196"
"2018-08-08","196.8","198.5","196.3","197.2","83809200","197.2"
"2018-08-09","196.8","197.8","196.3","197","58026700","197"
"2018-08-10","196.4","196.9","194.3","195","96168500","195"
"2018-08-13","193","193.3","191.1","192.5","111840300","192.5"
"2018-08-14","192.5","192.6","191.5","192.2","95099000","192.2"
"2018-08-15","192.5","192.6","190.1","191.4","106166000","191.4"
"2018-08-16","190.1","192.6","189.5","191.5","109077800","191.5"
"2018-08-17","192.5","194.5","192.3","193.6","90994700","193.6"
"2018-08-20","192.6","194.2","192.2","193.9","59018600","193.9"
"2018-08-21","193.3","194.2","192.7","193.3","67494800","193.3"
"2018-08-22","194","194.7","193.3","194.3","68298800","194.3"
"2018-08-23","194","194.3","193.2","193.6","50488000","193.6"
"2018-08-24","194.4","195.3","194.1","194.6","58311300","194.6"
"2018-08-27","194.8","195.8","194.4","195.4","71009600","195.4"
"2018-08-28","196.1","197","195.1","195.2","78423100","195.2"
"2018-08-29","195.8","197.4","195.5","197","87547800","197"
"2018-08-30","197.6","198.4","196.3","197.2","81651300","197.2"
"2018-08-31","195.3","196.3","194.8","195.1","102601200","195.1"
"2018-09-03","195","195.6","194.1","194.6","57147200","194.6"
"2018-09-04","195.1","195.1","193.8","194.1","63632900","194.1"
"2018-09-05","194.1","194.6","192.6","193.2","87415500","193.2"
"2018-09-06","193.5","194.1","192.8","192.9","71158000","192.9"
"2018-09-07","192.2","192.6","190.8","192","112240600","192"
"2018-09-10","192.3","193.7","191.7","192.9","75642400","192.9"
"2018-09-11","192.7","193","192","192.7","70223700","192.7"
"2018-09-12","192.4","192.5","191.2","192","102462000","192"
"2018-09-13","192","194.3","191.7","193.3","87685600","193.3"
"2018-09-14","194.4","195.4","194","194.9","137025200","194.9"
"2018-09-18","194.5","197.2","194.5","196.1","116379300","196.1"
"2018-09-19","198","199.5","197.8","198.3","143406300","198.3"
"2018-09-20","200","201.5","199.7","200.8","161709000","200.8"
"2018-09-21","201.8","203.4","201.6","203.4","192164400","203.4"
"2018-09-25","203.1","205","203.1","204.2","182665600","204.2"
"2018-09-26","200.3","201.6","197.6","199.2","150773000","199.2"
"2018-09-27","198.3","200.1","197.8","198.5","101064100","198.5"
"2018-09-28","199.7","200.3","198.2","198.2","136428200","198.2"
"2018-10-01","198","198.2","197.2","197.7","86090000","197.7"
"2018-10-02","198.6","199.4","198.3","198.6","98550200","198.6"
"2018-10-03","198.1","198.9","196.3","196.3","104519900","196.3"
"2018-10-04","198.3","199.5","198","198.8","155788500","198.8"
"2018-10-05","199","200.8","198.8","199.8","147848800","199.8"
"2018-10-09","200","200.6","197.5","198.3","124824800","198.3"
"2018-10-10","199.3","199.6","198.4","199.1","94894700","199.1"
"2018-10-11","194.1","196.3","193.6","194.2","190611000","194.2"
"2018-10-12","193.4","193.8","191.4","193.2","164931100","193.2"
"2018-10-15","192.2","192.4","189.5","190.1","160220300","190.1"
"2018-10-16","190.8","192.2","190.5","191.5","88478600","191.5"
"2018-10-17","193.9","194.1","192.5","193.2","105345000","193.2"
"2018-10-18","193.8","194.5","193","193.4","102690000","193.4"
"2018-10-19","191.8","193.7","191.2","193.7","93435700","193.7"
"2018-10-22","193.4","194.7","193","194.2","105049500","194.2"
"2018-10-23","193.5","194.1","191","191.3","129666800","191.3"
"2018-10-24","192.2","192.4","189.2","190.1","123117000","190.1"
"2018-10-25","187.4","188.6","186.2","187.9","154678300","187.9"
"2018-10-26","189.8","190.3","187.4","188.6","140932100","188.6"
"2018-10-29","190.2","190.8","187.2","187.9","113436100","187.9"
"2018-10-30","188.6","191","188.4","190.5","137287400","190.5"
"2018-10-31","190.6","194","190.1","194","178797900","194"
"2018-11-01","194.5","195.4","193.1","194.4","135854400","194.4"
"2018-11-02","194.7","195.3","192.3","194.7","113001900","194.7"
"2018-11-05","194.1","195.2","194","194.1","92927700","194.1"
"2018-11-06","194.1","196.2","194.1","195.7","103989900","195.7"
"2018-11-07","195.5","196.7","192.8","193.5","161614600","193.5"
"2018-11-08","195.8","197.6","195.6","196.5","137899200","196.5"
"2018-11-09","196.6","198","196.4","196.9","99365500","196.9"
"2018-11-12","196","197","195.7","196.6","60685700","196.6"
"2018-11-13","194.9","196","194.7","195.5","132420900","195.5"
"2018-11-14","195.9","196.7","195","195.2","86855700","195.2"
"2018-11-15","194.4","194.6","190.5","191.8","152039000","191.8"
"2018-11-16","192.1","193.2","191.3","192.6","94627400","192.6"
"2018-11-19","191.7","192.6","189","190.3","123937400","190.3"
"2018-11-20","189.4","191","189","189.9","92502700","189.9"
"2018-11-21","189","189.7","188.2","189.2","87999000","189.2"
