,Date,Open,High,Low,Close,Volume,Trading Value,index,Close_1309,Date_1309,diff_1309,Close_1322,Date_1322,diff_1322,Close_1326,Date_1326,diff_1326,Close_1343,Date_1343,diff_1343,Close_1543,Date_1543,diff_1543,Close_1551,Date_1551,diff_1551,Close_1633,Date_1633,diff_1633,Close_1678,Date_1678,diff_1678,Close_1681,Date_1681,diff_1681,Close_1682,Date_1682,diff_1682,Close_1698,Date_1698,diff_1698
0,2018-01-05,5430,5450,5340,5360,317300,5360,0,35300,2018-01-05,-0.012587412587412583,5800,2018-01-05,-0.028475711892797295,14150,2018-01-05,0.004258339247693366,1779,2018-01-05,-0.011666666666666714,38100,2018-01-05,-0.002617801047120394,5670,2018-01-05,-0.020725388601036232,30600,2018-01-05,-0.03164556962025311,167,2018-01-05,-0.011834319526627168,1649,2018-01-05,-0.004227053140096637,178,2018-01-05,-0.011111111111111072,1990,2018-01-05,-0.0025062656641604564
1,2018-01-09,5400,5410,5270,5330,423500,5330,1,35750,2018-01-09,0.0014005602240896309,5970,2018-01-09,0.008445945945946054,14090,2018-01-09,0.009312320916905481,1800,2018-01-09,-0.00497512437810943,38200,2018-01-09,0.021390374331550888,5790,2018-01-09,0.0,31600,2018-01-09,-0.0062893081761006275,169,2018-01-09,0.005952380952380931,1656,2018-01-09,0.002421307506053294,180,2018-01-09,0.005586592178770999,1995,2018-01-09,-0.0005010020040080443
2,2018-01-10,5350,5420,5330,5350,355900,5350,2,35700,2018-01-10,0.005633802816901401,5920,2018-01-10,-0.006711409395973145,13960,2018-01-10,-0.0014306151645206988,1809,2018-01-10,0.0005530973451326471,37400,2018-01-10,0.009446693657219951,5790,2018-01-10,0.006956521739130528,31800,2018-01-10,-0.0031347962382445305,168,2018-01-10,0.0059880239520957446,1652,2018-01-10,0.01039755351681948,179,2018-01-10,0.0,1996,2018-01-10,0.00452944136889788
3,2018-01-11,5340,5360,5240,5270,318300,5270,3,35500,2018-01-11,-0.008379888268156388,5960,2018-01-11,-0.009966777408637828,13980,2018-01-11,-0.0028530670470755526,1808,2018-01-11,0.0016620498614958734,37050,2018-01-11,-0.0040322580645161255,5750,2018-01-11,-0.006908462867012077,31900,2018-01-11,0.00789889415481837,167,2018-01-11,0.0,1635,2018-01-11,0.0,179,2018-01-11,-0.005555555555555536,1987,2018-01-11,0.0015120967741935054
4,2018-01-12,5270,5340,5250,5330,371600,5330,4,35800,2018-01-12,-0.03112313937753719,6020,2018-01-12,-0.024311183144246407,14020,2018-01-12,-0.006378454996456395,1805,2018-01-12,-0.010958904109588996,37200,2018-01-12,-0.01326259946949604,5790,2018-01-12,0.005208333333333259,31650,2018-01-12,-0.015552099533437058,167,2018-01-12,-0.005952380952380931,1635,2018-01-12,-0.010290556900726444,180,2018-01-12,-0.0055248618784530246,1984,2018-01-12,-0.0030150753768843908
5,2018-01-15,5450,5470,5400,5410,384900,5410,5,36950,2018-01-15,-0.0013513513513513375,6170,2018-01-15,-0.0016181229773463146,14110,2018-01-15,-0.0007082152974504652,1825,2018-01-15,-0.004364429896344779,37700,2018-01-15,-0.01308900523560208,5760,2018-01-15,-0.008605851979345935,32150,2018-01-15,0.0015576323987538387,168,2018-01-15,0.0,1652,2018-01-15,0.0048661800486617945,181,2018-01-15,0.0,1990,2018-01-15,-0.0020060180541624506
6,2018-01-16,5400,5540,5390,5530,264600,5530,6,37000,2018-01-16,-0.005376344086021501,6180,2018-01-16,0.0,14120,2018-01-16,0.005698005698005604,1833,2018-01-16,-0.005965292841648595,38200,2018-01-16,0.024128686327077764,5810,2018-01-16,0.0017241379310344307,32100,2018-01-16,0.0031250000000000444,168,2018-01-16,0.0059880239520957446,1644,2018-01-16,0.0006086427267193439,181,2018-01-16,0.02259887005649719,1994,2018-01-16,-0.001502253380070151
7,2018-01-17,5470,5570,5450,5550,301100,5550,7,37200,2018-01-17,-0.021052631578947323,6180,2018-01-17,-0.009615384615384581,14040,2018-01-17,0.0028571428571428914,1844,2018-01-17,-0.012847965738758016,37300,2018-01-17,-0.004005340453938633,5800,2018-01-17,-0.0017211703958691649,32000,2018-01-17,0.015873015873015817,167,2018-01-17,-0.01764705882352946,1643,2018-01-17,-0.013805522208883536,177,2018-01-17,-0.011173184357541888,1997,2018-01-17,0.0035175879396984744
8,2018-01-18,5590,5590,5390,5410,416700,5410,8,38000,2018-01-18,-0.018087855297157618,6240,2018-01-18,-0.004784688995215336,14000,2018-01-18,-0.0014265335235378318,1868,2018-01-18,0.009184224743381986,37450,2018-01-18,0.006720430107526987,5810,2018-01-18,0.003454231433505983,31500,2018-01-18,-0.009433962264150941,170,2018-01-18,0.00591715976331364,1666,2018-01-18,-0.0029922202274087484,179,2018-01-18,0.00561797752808979,1990,2018-01-18,-0.0020060180541624506
9,2018-01-19,5440,5460,5350,5390,275200,5390,9,38700,2018-01-19,-0.014012738853503182,6270,2018-01-19,-0.006339144215530945,14020,2018-01-19,0.0021443888491778917,1851,2018-01-19,-0.005373455131649663,37200,2018-01-19,0.0,5790,2018-01-19,0.0,31800,2018-01-19,-0.0015698587127158659,169,2018-01-19,-0.00588235294117645,1671,2018-01-19,0.0,178,2018-01-19,-0.005586592178770999,1994,2018-01-19,0.0005017561465128217
